id,slug,name,name_zh,author,publisher,year,type,level,status,description,sort_order,original_fields,scan_source,proofread_note
48,Kou_Pang_Sin_Tsau_Peh_Leng_Sienn_Tshuan_Kua_Kng_It_Chi_Kng_Ji,古板新造白綾像全歌（卷一至卷二）,古板新造白綾像全歌（卷一至卷二）,,潮州義安路李萬利,,folk,SS,public_domain,,48,han,,
49,Kou_Pang_Sin_Tsau_Peh_Lian_Hue_Tshuan_Kua_Kng_It_Chi_Kng_Si,古板新造白蓮花全歌（卷一至卷四）,古板新造白蓮花全歌（卷一至卷四）,,潮州義安路李萬利,,folk,SS,public_domain,,49,han,,
50,Kou_Pang_Sin_Tsau_Peh_Lian_Hue_Tshuan_Kua_Kng_Ngou_Chi_Kng_Tshit,古板新造白蓮花全歌（卷五至卷七）,古板新造白蓮花全歌（卷五至卷七）,,潮州義安路李萬利,,folk,SS,public_domain,,50,han,,
51,Kou_Pang_Sin_Tsau_Chhin_Si_Muinn_Tshuan_Kua_Kng_It_Chi_Kng_Lak,古板新造秦世美全歌（卷一至卷六）,古板新造秦世美全歌（卷一至卷六）,,潮州義安路李萬利,,folk,SS,public_domain,,51,han,,
52,Kou_Pang_Sin_Tsau_Sou_Lak_Nio_Kim_Thoi_Lo_Phe_Ki_Tshuan_Kua_Kng_It_Chi_Kng_Sann,古板新造蘇六娘金釵羅帕記全歌（卷一至卷三）,古板新造蘇六娘金釵羅帕記全歌（卷一至卷三）,,潮州義安路李萬利,,folk,SS,public_domain,,52,han,,
53,Kou_Pang_Sin_Tsau_Ti_Tu_Ki_Tshuan_Kua_Kng_It_Chi_Kng_No,古板新造蜘蛛記全歌（卷一至卷二）,古板新造蜘蛛記全歌（卷一至卷二）,,潮州義安路李萬利,,folk,SS,public_domain,,53,han,,
54,Kou_Pang_Sin_Tsau_Heng_Lak_Tou_Tshuan_Kua_Kng_It_Chi_Kng_Ji,古板新造行樂圖全歌（卷一至卷二）,古板新造行樂圖全歌（卷一至卷二）,,潮州義安路李萬利,,folk,SS,public_domain,,54,han,,
55,Kou_Pang_Sin_Tsau_Sang_Ki_Uan_Tshuan_Kua_Kng_It_Chi_Kng_Sann,古板新造雙奇緣全歌（卷一至卷三）,古板新造雙奇緣全歌（卷一至卷三）,,潮州義安路李萬利,,folk,SS,public_domain,,55,han,,
56,Kou_Pang_Sin_Tsau_Sang_Kim_Leng_Tshuan_Kua_Kng_It_Chi_Kng_Sann,古板新造雙金龍全歌（卷一至卷三）,古板新造雙金龍全歌（卷一至卷三）,,潮州義安路李萬利,,folk,SS,public_domain,,56,han,,
57,Kou_Pang_Sin_Tsau_Sang_Hu_Be_Tshuan_Kua_Kng_Si_Chi_Kng_Lak,古板新造雙附馬全歌（卷四至卷六）,古板新造雙附馬全歌（卷四至卷六）,,潮州義安路李萬利,,folk,SS,public_domain,,57,han,,
58,Kou_Pang_Sin_Tsau_Sang_Hong_Thoi_Kng_It_Chi_Kng_Ji,古板新造雙鳳釵（卷一至卷二）,古板新造雙鳳釵（卷一至卷二）,,潮州義安路李萬利,,folk,SS,public_domain,,58,han,,
59,Kou_Pang_Sin_Tsau_Sang_Hong_Thoi_Kng_Sann_Chi_Kng_Si,古板新造雙鳳釵（卷三至卷四）,古板新造雙鳳釵（卷三至卷四）,,潮州義安路李萬利,,folk,SS,public_domain,,59,han,,
